id,address,style,year,lat,lon
142,415 N Paterson St,Old Style,1874,43.085654,-89.377251
143,321 N Brearly St,Old Style,1874,43.086367,-89.374922
144,10 S Franklin St,Flat,1874,43.077397,-89.379383
145,1105 Williamson St,Old Style,1874,43.082026,-89.365709
146,206 N Pinckney St,Flat,1874,43.0772385,-89.3852881
147,718 E Johnson St,Old Style,1874,43.082548,-89.379434
148,314 S Broom St,Old Style,1874,43.068702,-89.385726
149,1024 Williamson St,Old Style,1874,43.081474,-89.367396
150,1052 Williamson St,Old Style,1874,43.08199,-89.366516
151,1051 Jenifer St,Old Style,1874,43.0810869,-89.365266
152,504 N Henry St,Flat,1874,43.076091,-89.392086
153,847 Jenifer St,Old Style,1874,43.078432,-89.368904
154,811 Jenifer St,Victorian georgian regency,1874,43.077899,-89.369793
155,732 Jenifer St,Old Style,1874,43.077507,-89.371973
156,123 W Gilman St,Old Style,1874,43.076607,-89.390366
157,444 W Doty St,Old Style,1874,43.0689838,-89.3885072
158,1325 Jenifer St,Old Style,1874,43.08429,-89.360545
159,1338 Williamson St,Old Style,1874,43.085214,-89.362091
160,118 N Broom St,Old Style,1874,43.0725479,-89.3907771
161,437 W Wilson St,Old Style,1874,43.068027,-89.3868899
162,1125 Jenifer St,Old Style,1874,43.0818551,-89.3642391
163,1113 Jenifer St,Old Style,1874,43.081496,-89.364509
164,1112 E Dayton St,Flat,1874,43.0867549,-89.37166
165,1015 E Gorham St,Old Style,1874,43.0865129,-89.374509
166,812 E Johnson St,Flat,1874,43.083624,-89.377754
167,1031 E Gorham St,Old Style,1874,43.086884,-89.373985
168,1145 Williamson St,Old Style,1874,43.082817,-89.364418
169,116 N Hancock St,Flat,1874,43.078416,-89.382184
170,517 E Johnson St,Old Style,1874,43.080397,-89.381601
171,924 Spaight St,Old Style,1874,43.078905,-89.367471
172,512 Wisconsin Ave,Flat,1874,43.078158,-89.389404
173,1046 Williamson St,Old Style,1874,43.081975,-89.366681
174,854 Jenifer St,Victorian georgian regency,1874,43.07886,-89.36919
175,826 Spaight St,Old Style,1874,43.078014,-89.36921
176,123 E Gorham St,Flat,1874,43.078626,-89.385715
177,515 N Carroll St,Flat,1874,43.077899,-89.3900589
178,2811 Kendall Ave,Old Style,1875,43.071255,-89.436738
179,409 S Livingston St,Old Style,1875,43.078059,-89.370998
180,1000 E Johnson St,Old Style,1875,43.0859422,-89.3743615
181,745 Jenifer St,Old Style,1875,43.077284,-89.370911
182,217 N Hamilton St,Old Style,1875,43.0784809,-89.383852
183,212 S Mills St,Flat,1875,43.06467,-89.40452
184,412 W Main St,Apartment,1875,43.070457,-89.388477
185,1201 Drake St,Old Style,1875,43.061704,-89.405742
186,703 E Gorham St,Flat,1875,43.082533,-89.380182
187,1325 E Johnson St,Old Style,1875,43.089877,-89.367947
188,318 N Broom St,Flat,1875,43.0738213,-89.3924354
189,152 E Gorham St,Flat,1875,43.079578,-89.385255
190,1305 E Dayton St,Old Style,1875,43.088788,-89.367819
191,814 W Olin Ave,Old Style,1875,43.054321,-89.395961
192,502 N Westfield Rd,Old Style,1875,43.074109,-89.508741
193,2721 Union St,Flat,1875,43.100583,-89.344926
194,1221 Rutledge St,Old Style,1875,43.0818238,-89.3609748
195,1124 Jenifer St,Old Style,1875,43.082079,-89.36475
196,5042 Lake Mendota Dr,Modern two story,1875,43.081005,-89.465795
197,114 N Broom St,Old Style,1875,43.0724382,-89.3906292
198,504 E Main St,Old Style,1876,43.077437,-89.378405
199,422 N Henry St Unit D,Townhouse,1876,43.075812,-89.391631
200,111 N Blair St,Old Style,1876,43.079804,-89.380047
201,422 N Henry St Unit O,Garden,1876,43.075812,-89.391631
202,432 W Doty St,Flat,1876,43.069341,-89.388195
203,118 N Franklin St,Old Style,1876,43.079022,-89.381512
204,422 N Henry St Unit A,Garden,1876,43.075812,-89.391631
205,1142 E Gorham St,Victorian georgian regency,1876,43.088749,-89.3724189
206,422 N Henry St Unit B,Split-level,1876,43.075812,-89.391631
207,422 N Henry St Unit C,Garden,1876,43.075812,-89.391631
208,506 E Johnson St,Old Style,1877,43.080365,-89.382364
209,1144 E Johnson St,Old Style,1878,43.088151,-89.371559
210,946 E Johnson St,Flat,1878,43.085641,-89.375029
211,3417 Stevens St,Old Style,1878,43.071105,-89.446144
212,19 S Franklin St,Old Style,1879,43.077506,-89.378666
213,929 E Gorham St,Old Style,1879,43.0856423,-89.3758751
214,1505 Williamson St,Flat,1879,43.0872471,-89.3588608
215,644 E Johnson St,Old Style,1879,43.081855,-89.380425
216,1010 Grant St,Old Style,1879,43.06356,-89.414375
217,654 E Johnson St,Old Style,1879,43.081998,-89.380088
218,928 Jenifer St,Old Style,1879,43.079633,-89.368225
219,12 N Franklin St,Old Style,1879,43.078103,-89.380308
220,115 S Bassett St,Old Style,1879,43.069094,-89.388811
221,109 N Butler St,Flat,1879,43.0781009,-89.382458
222,935 Drake St,Flat,1879,43.061858,-89.402223
223,1323 Spaight St,Old Style,1879,43.083544,-89.359817
224,713 W Main St,Old Style,1879,43.065639,-89.3940889
225,101 N Franklin St,Old Style,1879,43.078987,-89.380663
226,11 S Hancock St,Flat,1879,43.077264,-89.379726
227,953 Williamson St,Flat,1879,43.080512,-89.3678599
228,621 N Frances St,Flat,1879,43.076628,-89.395026
229,218 W Gilman St,Flat,1879,43.075868,-89.392483
230,102 S First St,Bungalow,1879,43.0911977,-89.3580627
231,1223 Vilas Ave,Old Style,1879,43.062795,-89.406758
232,1143 Jenifer St,Old Style,1879,43.082125,-89.363618
233,849 E Gorham St,Old Style,1879,43.084694,-89.377092
234,202 N Blair St,Flat,1879,43.079951,-89.381093
235,515 E Johnson St,Old Style,1879,43.080304,-89.381736
236,7 N Franklin St,Old Style,1879,43.078332,-89.379831
237,111 S Franklin St,Flat,1879,43.076949,-89.377851
238,1139 Rutledge St,Flat,1879,43.080655,-89.361935
239,1201 Rutledge St,Old Style,1879,43.081273,-89.361377
240,929 Williamson St,Old Style,1879,43.079885,-89.368582
241,930 Jenifer St,Old Style,1879,43.079716,-89.368106
242,409 W Mifflin St,Flat,1879,43.071732,-89.390141
243,8 N Broom St,Flat,1880,43.071537,-89.3894435
244,6705 Cottage Grove Rd,Old Style,1880,43.084098,-89.263506
245,414 W Main St,Flat,1880,43.07038,-89.388585
246,1323 E Dayton St,Old Style,1880,43.089151,-89.367189
247,158 Corry St,Old Style,1880,43.096084,-89.345426
248,1106 Williamson St,Old Style,1880,43.082318,-89.3661
249,512 E Johnson St,Flat,1880,43.080459,-89.382231
250,1215 Drake St,Old Style,1880,43.06171,-89.406289
251,130 Talmadge St,Cottage,1880,43.097034,-89.346435
252,834 Jenifer St,Old Style,1880,43.078551,-89.36976
253,308 S Few St,Old Style,1880,43.083495,-89.36499
254,727 Jenifer St,Old Style,1880,43.077072,-89.371763
255,410 N Henry St,Old Style,1880,43.075522,-89.391428
256,1713 Homberg Ln,Old Style,1880,43.073882,-89.292916
257,1713 Monroe St,Flat,1880,43.065689,-89.41544
258,1326 E Dayton St,Old Style,1880,43.089638,-89.367574
259,944 E Dayton St,Old Style,1880,43.085026,-89.374105
260,124 N Baldwin St,Victorian georgian regency,1880,43.088572,-89.3681469
261,110 W Johnson St,Flat,1880,43.0759197,-89.3886792
262,1104 Jenifer St,Old Style,1880,43.081634,-89.365289
263,738 E Johnson St,Old Style,1880,43.082985,-89.378806
